Open Playback Recorder,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
,Needle Nose Pliers,,,,,,,,,,,,
,Flush Cutters,,,,,,,,,,,,
,Super Glue,,,,,,,,,,,,
,Desolder Pump (Optional),,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,Link,,,,,,,,Link,,,
,,,,,,,,,,,,,
2130,Audio Amplifier (Pam8302),https://www.adafruit.com/product/2130,,,,,,,,,,,
4445,Mono Speaker (4Ω 3W ),https://www.adafruit.com/product/4445,,,,,,,,,,,
254,Micro SD Reader ,https://www.adafruit.com/product/254,,,,,,,,,,,
5250,Micro SD Card,https://www.adafruit.com/product/5250,,,,,,,,,,,
1713,Microphone (MAX9814),https://www.adafruit.com/product/1713,,,,,,,,,,,
1119,Buttons (B3F-5050),https://www.adafruit.com/product/1119,,,,,,,,,,,
4361,3.5 mm Mono Jack,https://www.adafruit.com/product/4361,,,,,,,,,,,
4294,Resistor (1k Ω),https://www.adafruit.com/product/4294,,,,,,,,,,,
2671,Male Through Hole Header,https://www.adafruit.com/product/2671,,,,,,,,,,,
598,Female Through Hole Header,https://www.adafruit.com/product/598,,,,,,,,,,,
80,9V Battery Clip,https://www.adafruit.com/product/80,,,,,,,,,,,
301,Blue LED,https://www.adafruit.com/product/301,,,,,,,,,,,
298,Green LED,https://www.adafruit.com/product/298,,,,,,,,,,,
299,Red LED,https://www.adafruit.com/product/299,,,,,,,,,,,
